date,equity
2023-08-21,96821.9
2023-08-22,97547.48
2023-08-23,98824.7
2023-08-24,96930.81
2023-08-25,97458.28
2023-08-28,98348.06
2023-08-29,100191.77
2023-08-30,100655.65
2023-08-31,100925.62
2023-09-01,101797.42
2023-09-05,101739.25
2023-09-06,101365.52
2023-09-07,100602.16
2023-09-08,100755.73
2023-09-11,101782.42
2023-09-12,100275.77
2023-09-13,100587.44
2023-09-14,101324.64
2023-09-15,99498.92
2023-09-18,99673.24
2023-09-19,99510.37
2023-09-20,98407.45
2023-09-21,96757.66
2023-09-22,96948.87
2023-09-25,97270.49
2023-09-26,96034.91
2023-09-27,96317.92
2023-09-28,97034.23
2023-09-29,97108.74
2023-10-02,97720.18
2023-10-03,96163.34
2023-10-04,97238.9
2023-10-05,97031.71
2023-10-06,98368.8
2023-10-09,98633.45
2023-10-10,99149.58
2023-10-11,99836.28
2023-10-12,99302.41
2023-10-13,97948.87
2023-10-16,98830.38
2023-10-17,98698.9
2023-10-18,97572.63
2023-10-19,96720.13
2023-10-20,95534.79
2023-10-23,95574.88
2023-10-24,96358.29
2023-10-25,94470.46
2023-10-26,93186.42
2023-10-27,93417.49
2023-10-30,94284.77
2023-10-31,94773.48
2023-11-01,96090.61
2023-11-02,97078.83
2023-11-03,98551.37
2023-11-06,98845.45
2023-11-07,99706.5
2023-11-08,99646.5
2023-11-09,99044.65
2023-11-10,101101.84
2023-11-13,100872.26
2023-11-14,102493.43
2023-11-15,102300.9
2023-11-16,102089.45
2023-11-17,102420.4
2023-11-20,103506.41
2023-11-21,103082.3
2023-11-22,103374.8
2023-11-24,103402.22
2023-11-27,103395.61
2023-11-28,104287.24
2023-11-29,104481.7
2023-11-30,104685.49
2023-12-01,104534.65
2023-12-04,103593.31
2023-12-05,103692.47
2023-12-06,102935.94
2023-12-07,104011.01
2023-12-08,104716.76
2023-12-11,105692.77
2023-12-12,106475.66
2023-12-13,107515.44
2023-12-14,107741.09
2023-12-15,108117.62
2023-12-18,108689.86
2023-12-19,109205.53
2023-12-20,107784.29
2023-12-21,108913.87
2023-12-22,108974.97
2023-12-26,109532.16
2023-12-27,109667.05
2023-12-28,109509.4
2023-12-29,109086.03
2024-01-02,107341.66
2024-01-03,106583.12
2024-01-04,106244.98
2024-01-05,106305.65
2024-01-08,108142.8
2024-01-09,108077.32
2024-01-10,109079.37
2024-01-11,109392.73
2024-01-12,109789.57
2024-01-16,109749.22
2024-01-17,109031.39
2024-01-18,110299.72
2024-01-19,111973.71
2024-01-22,112130.38
2024-01-23,112347.95
2024-01-24,112947.66
2024-01-25,113198.95
2024-01-26,112973.62
2024-01-29,113954.67
2024-01-30,113390.58
2024-01-31,111553.08
2024-02-01,112699.36
2024-02-02,113996.18
2024-02-05,113754.99
2024-02-06,113863.32
2024-02-07,115398.44
2024-02-08,115695.3
2024-02-09,116757.91
2024-02-12,116105.06
2024-02-13,114349.78
2024-02-14,115717.41
2024-02-15,115980.06
2024-02-16,115197.98
2024-02-20,114249.9
2024-02-21,113882.83
2024-02-22,116565.1
2024-02-23,116723.11
2024-02-26,116925.48
2024-02-27,117029.16
2024-02-28,116550.01
2024-02-29,117028.63
2024-03-01,119204.44
2024-03-04,118971.08
2024-03-05,116970.23
2024-03-06,117929.72
2024-03-07,119129.7
2024-03-08,117549.53
2024-03-11,116799.76
2024-03-12,118147.1
2024-03-13,117419.66
2024-03-14,116891.28
2024-03-15,115817.32
2024-03-18,116432.32
2024-03-19,116522.43
2024-03-20,117943.08
2024-03-21,118738.05
2024-03-22,118876.41
2024-03-25,118406.72
2024-03-26,118436.56
2024-03-27,118637.12
2024-03-28,118544.53
2024-04-01,118500.79
2024-04-02,117657.96
2024-04-03,118374.13
2024-04-04,116974.25
2024-04-05,118461.74
2024-04-08,118450.94
2024-04-09,118559.09
2024-04-10,117600.3
2024-04-11,118997.33
2024-04-12,117151.99
2024-04-15,115401.08
2024-04-16,115636.67
2024-04-17,114498.29
2024-04-18,113869.64
2024-04-19,112014.59
2024-04-22,112882.69
2024-04-23,114308.12
2024-04-24,114566.39
2024-04-25,113642.69
2024-04-26,114773.79
2024-04-29,114862.54
2024-04-30,113188.87
2024-05-01,112116.91
2024-05-02,113462.77
2024-05-03,114834.95
2024-05-06,116346.57
2024-05-07,115517.28
2024-05-08,115444.74
2024-05-09,115858.94
2024-05-10,116158.38
2024-05-13,116012.6
2024-05-14,116970.77
2024-05-15,118620.58
2024-05-16,118106.23
2024-05-17,118066.79
2024-05-20,118751.0
2024-05-21,118794.96
2024-05-22,118772.49
2024-05-23,118304.87
2024-05-24,119477.0
2024-05-28,119836.83
2024-05-29,119114.54
2024-05-30,118075.19
2024-05-31,117824.99
2024-06-03,118017.47
2024-06-04,117974.36
2024-06-05,119881.55
2024-06-06,120038.95
2024-06-07,119704.31
2024-06-10,120132.27
2024-06-11,120477.95
2024-06-12,121866.84
2024-06-13,121966.79
2024-06-14,122073.12
2024-06-17,123083.88
2024-06-18,123214.93
2024-06-20,122536.55
2024-06-21,122529.4
2024-06-24,121576.74
2024-06-25,122594.63
2024-06-26,122656.75
2024-06-27,122666.27
2024-06-28,122376.02
2024-07-01,122545.08
2024-07-02,123510.5
2024-07-03,124253.89
2024-07-05,125146.77
2024-07-08,125345.67
2024-07-09,125225.0
2024-07-10,126333.8
2024-07-11,124519.26
2024-07-12,125250.12
2024-07-15,125622.73
2024-07-16,126008.15
2024-07-17,123193.29
2024-07-18,122416.08
2024-07-19,121187.54
2024-07-22,122297.73
2024-07-23,122032.32
2024-07-24,118889.7
2024-07-25,117349.94
2024-07-26,118485.05
2024-07-29,118495.32
2024-07-30,117120.49
2024-07-31,119592.53
2024-08-01,116885.28
2024-08-02,114340.63
2024-08-05,111448.38
2024-08-06,112456.42
2024-08-07,111588.81
2024-08-08,114399.43
2024-08-09,115068.17
2024-08-12,115120.14
2024-08-13,116987.5
2024-08-14,116925.62
2024-08-15,118558.74
2024-08-16,118632.89
2024-08-19,119543.45
2024-08-20,119503.32
2024-08-21,120053.33
2024-08-22,118656.94
2024-08-23,120161.83
2024-08-26,119462.5
2024-08-27,119599.88
2024-08-28,118518.54
2024-08-29,118138.89
2024-08-30,119180.39
2024-09-03,116279.08
2024-09-04,116415.83
2024-09-05,116742.35
2024-09-06,114404.18
2024-09-09,115639.33
2024-09-10,116796.05
2024-09-11,118437.42
2024-09-12,119110.99
2024-09-13,119791.8
2024-09-16,119404.92
2024-09-17,119356.81
2024-09-18,119056.42
2024-09-19,120971.86
2024-09-20,120849.46
2024-09-23,121573.75
2024-09-24,122155.01
2024-09-25,121911.99
2024-09-26,122452.11
2024-09-27,121891.73
2024-09-30,122077.99
2024-10-01,120790.09
2024-10-02,120692.78
2024-10-03,120437.98
2024-10-04,121288.45
2024-10-07,120230.33
2024-10-08,121448.97
2024-10-09,122207.64
2024-10-10,122140.23
2024-10-11,122571.85
2024-10-14,123430.69
2024-10-15,122413.85
2024-10-16,122443.13
2024-10-17,122296.28
2024-10-18,123376.92
2024-10-21,123152.19
2024-10-22,123234.05
2024-10-23,122059.24
2024-10-24,122677.67
2024-10-25,123050.05
2024-10-28,123165.02
2024-10-29,123737.19
2024-10-30,123328.07
2024-10-31,120937.64
2024-11-01,121171.96
2024-11-04,121120.83
2024-11-05,122504.21
2024-11-06,124708.02
2024-11-07,125870.47
2024-11-08,126063.29
2024-11-11,126589.1
2024-11-12,126797.4
2024-11-13,126749.21
2024-11-14,125842.24
2024-11-15,123694.85
2024-11-18,124250.03
2024-11-19,125045.78
2024-11-20,125351.76
2024-11-21,126385.97
2024-11-22,127057.09
2024-11-25,127031.16
2024-11-26,127293.47
2024-11-27,126474.43
2024-11-29,127466.14
2024-12-02,128665.69
2024-12-03,129431.66
2024-12-04,130875.73
2024-12-05,130766.58
2024-12-06,131196.9
2024-12-09,130410.39
2024-12-10,129043.71
2024-12-11,130708.2
2024-12-12,130332.46
2024-12-13,130534.56
2024-12-16,131793.2
2024-12-17,131123.54
2024-12-18,127303.27
2024-12-19,127133.56
2024-12-20,128373.44
2024-12-23,129158.13
2024-12-24,130531.4
2024-12-26,130436.69
2024-12-27,129107.25
2024-12-30,127921.3
2024-12-31,127100.71
2025-01-02,127109.93
2025-01-03,129093.61
2025-01-06,130020.0
2025-01-07,127989.98
2025-01-08,128094.77
2025-01-10,126137.97
2025-01-13,125699.35
2025-01-14,126112.31
2025-01-15,128127.89
2025-01-16,127830.7
2025-01-17,129173.59
2025-01-21,130354.16
2025-01-22,131543.91
2025-01-23,131692.75
2025-01-24,131057.6
2025-01-27,127079.76
2025-01-28,128659.56
2025-01-29,128548.56
2025-01-30,128546.16
2025-01-31,128372.42
2025-02-03,127882.26
2025-02-04,129141.6
2025-02-05,129848.59
2025-02-06,130008.21
2025-02-07,129680.05
2025-02-10,130906.7
2025-02-11,130054.27
2025-02-12,130050.28
2025-02-13,131472.29
2025-02-14,132130.76
2025-02-18,132564.93
2025-02-19,131701.22
2025-02-20,130702.78
2025-02-21,127978.49
2025-02-24,126810.4
2025-02-25,125418.87
2025-02-26,125927.81
2025-02-27,123355.39
2025-02-28,124918.6
2025-03-03,122731.32
2025-03-04,122146.43
2025-03-05,123583.16
2025-03-06,120349.99
2025-03-07,120241.62
2025-03-10,119013.56
2025-03-11,118855.11
2025-03-12,118920.78
2025-03-13,118582.36
2025-03-14,119029.09
2025-03-17,119308.76
2025-03-18,118895.71
2025-03-19,119206.32
2025-03-20,119089.09
2025-03-21,119047.34
2025-03-24,119407.93
2025-03-25,119406.97
2025-03-26,117918.09
2025-03-27,117833.01
2025-03-28,117362.87
2025-03-31,117246.8
2025-04-01,117456.7
2025-04-02,117301.14
2025-04-03,117002.82
2025-04-04,115616.54
2025-04-07,115200.0
2025-04-08,114795.7
2025-04-09,116198.27
2025-04-10,115812.49
2025-04-11,116303.29
2025-04-14,116684.14
2025-04-15,116730.82
2025-04-16,116134.54
2025-04-17,116147.07
2025-04-21,115916.1
2025-04-22,116082.71
2025-04-23,115932.47
2025-04-24,116131.43
2025-04-25,116012.31
2025-04-28,116088.87
2025-04-29,116137.06
2025-04-30,116213.19
2025-05-01,116183.04
2025-05-02,116310.93
2025-05-05,116314.15
2025-05-06,116263.14
2025-05-07,116271.11
2025-05-08,116330.53
2025-05-09,116307.25
2025-05-12,116405.38
2025-05-13,117171.29
2025-05-14,117533.15
2025-05-15,117704.05
2025-05-16,118200.21
2025-05-19,118176.39
2025-05-20,117993.91
2025-05-21,117380.92
2025-05-22,116948.14
2025-05-23,116277.19
2025-05-27,117570.92
2025-05-28,117176.21
2025-05-29,117332.96
2025-05-30,117094.76
2025-06-02,117596.07
2025-06-03,118204.93
2025-06-04,118554.8
2025-06-05,118059.47
2025-06-06,118902.05
2025-06-09,119585.18
2025-06-10,119954.06
2025-06-11,120055.03
2025-06-12,119622.56
2025-06-13,118555.9
2025-06-16,119631.41
2025-06-17,118841.58
2025-06-18,118836.24
2025-06-20,118598.16
2025-06-23,119331.93
2025-06-24,120982.76
2025-06-25,120890.55
2025-06-26,122303.45
2025-06-27,122195.13
2025-06-30,123496.56
2025-07-01,121936.02
