date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2025-10-30,STOP,NTES,8.0,136.3114,1090.49,,stop pl=-8.13% vs -6.93%,23918.39,113525.0
2025-10-31,BUY,TSLA,2.0,456.56,913.12,0.5842,score=+0.58 sector=mega_cap_tech,23004.81,114044.65
2025-11-03,STOP,NBIS,31.0,120.47,3734.57,,trailing lock hw=32.65% now=22.16%,26737.51,114370.2
2025-11-03,BUY,FLYW,246.0,13.43,3303.78,0.5793,score=+0.58 sector=fintech,23432.08,114368.55
2025-11-04,STOP,LOGI,35.0,117.38,4108.3,,trailing lock hw=20.92% now=15.41%,27538.33,112419.09
2025-11-04,STOP,PLTR,12.0,190.74,2288.88,,trailing lock hw=14.79% now=5.68%,29826.06,112417.95
2025-11-04,BUY,QQQ,1.0,616.9963,617.0,0.046,benchmark core target=50%,29208.76,112417.64
2025-11-04,BUY,MPWR,3.0,952.8907,2858.67,0.5595,score=+0.56 sector=semiconductors,26348.66,112416.21
2025-11-05,BUY,NTAP,5.0,114.1947,570.97,0.6965,score=+0.70 sector=cloud_infra,25777.4,113510.79
2025-11-05,BUY,TSLA,4.0,462.07,1848.28,0.6083,score=+0.61 sector=mega_cap_tech,23928.19,113509.86
2025-11-05,BUY,AVGO,3.0,356.9795,1070.94,0.572,score=+0.57 sector=ai_infra,22856.72,113509.33
2025-11-06,STOP,QQQ,91.0,609.4439,55459.4,,trailing lock hw=14.44% now=9.96%,78288.38,111924.64
2025-11-06,BUY,QQQ,91.0,609.4439,55459.4,0.3676,benchmark core target=50%,22801.26,111896.91
2025-11-13,STOP,NTAP,31.0,108.1834,3353.69,,stop pl=-6.86% vs -6.79%,26153.27,110870.64
2025-11-13,STOP,GOOGL,20.0,278.026,5560.52,,trailing lock hw=23.14% now=17.75%,31711.01,110867.86
2025-11-13,STOP,GOOG,20.0,278.574,5571.48,,trailing lock hw=22.84% now=17.53%,37279.7,110865.07
2025-11-13,STOP,NU,144.0,15.59,2244.96,,trailing lock hw=9.85% now=4.49%,39523.54,110863.95
